temp,n,batch,a,Rg,Re,PE,valid
0.1,5,0,25,0.7431123391072701,1.1295357323045323,-1.3434657999249193,True
0.1,5,1,25,0.7487446632150996,1.1319182324812949,-1.3297243149945388,True
0.1,5,2,25,0.7478709042005558,1.157265733863057,-1.3633380088967337,True
0.1,10,0,50,0.9812107879154915,2.0894028006807512,-7.018123039615344,True
0.1,10,1,50,1.0440384004494383,1.1533149563553917,-6.222938383936667,True
0.1,10,2,50,1.0086495570457277,2.613032762192414,-6.896385147082771,True
0.1,20,0,100,1.2509437930278373,1.1078520472921394,-21.990148208285945,True
0.1,20,1,100,1.2835163021721063,1.1444049026839804,-21.39016770060979,True
0.1,20,2,100,1.263351347283588,1.93152275710991,-21.982009029172055,True
0.28,5,0,25,1.1235055339512838,2.9031638542951095,0.30637027235507,True
0.28,5,1,25,1.0153522134099249,2.510000882650206,0.15831893828335908,True
0.28,5,2,25,1.0512650360314346,2.5900021903322323,0.07348202289641842,True
0.28,10,0,50,1.0949468735817613,2.0271139375799727,-5.00289115220121,True
0.28,10,1,50,1.133105526148167,1.5024949212091614,-3.285128104141865,True
0.28,10,2,50,1.1674706756079427,1.2274702595819194,-3.04468413794565,True
0.28,20,0,100,1.3506289994300547,2.9466500129679023,-13.889172973786879,True
0.28,20,1,100,1.3556823689747461,3.1116933063851944,-14.009323141981959,True
0.28,20,2,100,1.3594383180614633,2.067262186500224,-14.982917712416056,True
0.46,5,0,25,1.0949550162847528,2.6159507634307273,0.612619720780763,True
0.46,5,1,25,1.0229766152120292,2.3485483512838665,0.48040335526798494,True
0.46,5,2,25,1.166935889401551,2.99085427188591,0.4751072134593023,True
0.46,10,0,50,2.001708628417015,5.190244235379414,1.2546708218353466,True
0.46,10,1,50,1.2952448083385004,1.9533094440653063,0.11348562058880544,True
0.46,10,2,50,1.8522346946811388,5.378781735540072,0.37248925597355503,True
0.46,20,0,100,1.4527165793527954,1.79212868277175,-8.827666693541389,True
0.46,20,1,100,1.7978437567874286,5.046085270915607,-4.987774056437722,True
0.46,20,2,100,1.5177150324429982,2.3507768580912694,-7.278150907682832,True
0.64,5,0,25,1.1664397142909975,3.134244959084737,0.579035543405778,True
0.64,5,1,25,1.2959590217587607,3.5740953263250175,0.548213959504218,True
0.64,5,2,25,0.9488931413109886,1.8008764746017045,0.4858249401917563,True
0.64,10,0,50,1.8555352420696412,4.853746447476986,2.341633503734229,True
0.64,10,1,50,1.4274126427399505,3.629450671917917,0.6365323279073827,True
0.64,10,2,50,1.3982415134128257,3.004670438283775,0.6731900089177991,True
0.64,20,0,100,1.7339982995481467,4.008914280919158,-1.8165082789227665,True
0.64,20,1,100,1.7023708902465124,3.7378087988448105,-0.10326294476076477,True
0.64,20,2,100,1.8848647247909711,3.762472747239258,-0.8577372897009171,True
0.82,5,0,25,1.151714776215208,2.8584931827488975,0.7690324841234774,True
0.82,5,1,25,1.2225387166259838,3.221482009139091,0.8648461295308678,True
0.82,5,2,25,1.2610867514696804,3.2224492857377323,0.5186781797615387,True
0.82,10,0,50,1.8236653501569449,4.595913520525898,4.2514735859466395,True
0.82,10,1,50,2.034446365343434,5.565178808892447,4.387549657969672,True
0.82,10,2,50,1.3198044959805,1.5419111501099099,-0.00034848758106420074,True
0.82,20,0,100,3.5095361019660434,10.315105305902991,6.554394909902396,True
0.82,20,1,100,1.7669804887693035,2.274364369575753,0.6361364122359278,True
0.82,20,2,100,1.9733209704816956,3.198880034378396,3.290862923965619,True
1.0,5,0,25,1.1915750440194397,3.0897636170502993,0.8686603128405572,True
1.0,5,1,25,1.376649950829069,3.8261122972982555,0.8280343633505776,True
1.0,5,2,25,1.2855623979566284,3.462600772604539,1.2873266759290707,True
1.0,10,0,50,2.2687722243595743,6.603652375488444,2.6038426156204286,True
1.0,10,1,50,1.5975332676663312,3.770808092799834,2.3560702392502466,True
1.0,10,2,50,1.3955917734297347,2.870521849436943,5.42792673795273,True
1.0,20,0,100,2.475552774675509,5.511690493459407,7.422804205565265,True
1.0,20,1,100,2.1836877067356695,6.032799083671673,3.499407799299376,True
1.0,20,2,100,2.1405612982501827,3.689618207535036,6.756238652714786,True
0.1,40,0,200,48.201410940743905,86.83516507193066,2024305.6167163649,False
0.1,80,0,400,47.838182859262844,97.23608191746833,6123309.536275021,False
0.28,40,0,200,1.7077340162561732,2.2602766507044625,-41.48877018495048,True
0.28,80,0,400,67.39764040663289,164.38659228674217,5957125.802460942,False
0.46,40,0,200,53.774359928860605,74.11159681983744,1319697.913182686,False
0.46,80,0,400,111.38843785847718,174.95289659361882,10491812.552818099,False
0.64,40,0,200,2.4922160866987912,2.5559054587149137,-11.259125781609358,True
0.64,80,0,400,2.6384083343327482,5.512564596896746,-45.56631578720323,True
0.82,40,0,200,2.3480448390873194,4.699752987640961,-3.3684961607206128,True
0.82,80,0,400,3.185399761179535,7.843561263099194,-16.65047204480804,True
1.0,40,0,200,2.7219652103180874,4.301681026397988,5.309418890136612,True
1.0,80,0,400,98.03174305155356,215.1647274917714,5561645.560692627,False
